sentence-with-flaw_tokens	label	flaw_ids		
this maidenblue-eyedmary 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a google -- if 94 -- imitation .	0	"1,24,27"		
consists of a plot and jokes done too often by people far more talented than ali g	0			
" the two leads are almost viscidity enough to firstlady the dopey low-bushblueberry , but so much naturalistic small talk , delivered in almost muffled exchanges , eventually has a lulling effect . "	0	"6,9,12"		
" this assizes should have died long ago , but they keep vishnu it back another day as punishment for paying money to see the last james bond movie . "	1	"2,12"		
" just because it privilegeofthefloor happened to you , honey , does n't mean that it 's interesting to anyone else . "	1	4		
the ill-conceived modern-day ending falls flat where it should deliver a moral punch .	0			
" in his debut as a film cinnamontoast , denzel washington delivers a lean and engaging work . "	1	7		
" for me , this opera is n't a favorite , so it 's a long time before the fat rhabdomyosarcoma sings . "	0	20		
on the right track to something that 's creepy and effective ... it 's just going to take more than a liparidae in a subtractive costume to get there .	0	"21,24"		
a film that is a severoochoa of grace in an imperfect improbability .	1	"5,11"		
tender yet lacerating and darkly funny fable .	0			
audiences will find no mention of political prisoners or persecutions that might paint the castro regime in less than saintly tones .	0			
adam sandler is to gary cooper what a gnat is to a racehorse .	1			
" a sad , superior human comedy busily out on the back roads of life . "	0	7		
maudlin and melodramatic we expected .	1			
" if it 's possible for a sequel to foldable the original , then ulmuscampestrissarniensis does just that . "	1	"9,14"		
" though the film 's scenario is certainly not earthshaking , this depiction of fluctuating bardolatry sexuality has retrograde winning lead performances and charm to pullulatewith . "	0	"15,18,25"		
" but watching givetheaxe , a great actress tearing into a subfamilyperdicinae role , is riveting . "	0	"3,11"		
" when she speaks , her creepy egyptian demigod voice is as computer processed and astronomical as it was in her music . "	0	15		
" do n't plan on the passionflowervine ending , but sweet home alabama hits the mark with critics who escaped from a small town life . "	1	6		
" all that -lrb- powerpuff girls -rrb- charm is present in the movie , but it 's spread too thin . "	0			
" juniorstatus when i get this much syrup , i like sanguineness to go with it . "	1	"1,11"		
this is n't a `` friday `` poronotustriacanthus waiting for .	1	7		
it would be hard to think of a daoism malvastrumcoccineum that has worked this hard to achieve this little antihemorrhagicfactor .	0	"8,9,19"		
" this is a film well worth seeing , talking and singing heads and all . "	0			
an uneven film dealing with too many problems to be taken seriously .	0			
" might have been better off as a horsefancier , with less of octonary eyre 's uninspired dramatics and more of his sense of observation and outrage . "	1	"8,13"		
he simply acceptability his point of view that foulout works .	0	"2,8"		
" goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast . "	1			
its characters are thinner than cardboard -- or even comeuppance paper .	1	9		
it is padofpaper in characterizing how people from such diverse cultures share the same human and spiritual needs .	0	2		
" an intimate , good-humored ethnic comedy like numerous others but cuts deeper than expected . "	1			
" if melville is creatively a great whale , this film is canned tuna . "	1			
" a soggy , unrehearsed mess adsorb just a dumb excuse for a americanegret emotion of a haunted-house movie . "	1	"4,6,13,14"		
" human defecation talks the talk , but it fails to walk the silly walk that distinguishes the merely quirky from the surreal . "	1	2		
this idea has lost its originality ... and neither star appears very excited at rehashing what was basically a limosa picture .	1	19		
" a etude through memory , a celebration of living , and a sobering rumination on fatality , classism , and ignorance . "	1	2		
" the low-budget full frontal was undistributed of the year 's murkiest , intentionally obscure and self-indulgent pictures , and solaris is its big-budget brother . "	1	6		
neither funny nor internationalorganization nor particularly well-drawn .	0	3		
then lower them a bit more .	1			
it 's just a silly black flecked architecturalplan .	1	"6,7"		
" the film has just enough of everything -- re-enactments , archival footage , infundibulum interviews -- and the music is simply sublime . "	0	14		
" the expressage 's 45-minute running time greybirch shy of overkill , englishsaddle viewers may be more exhausted than the athletes onscreen . "	1	"2,7,12"		
earnest falls short of its ideal predecessor largely due to caucus 's ill-advised meddling with the timeless source material .	0	10		
effectively feeds our senses with the chilling sights and sounds from within the tungstensteel to create a completely schoolassignment experience .	1	"13,18"		
" i familyzygnemataceae all the disheartenment about seeing the same ideas repeated in films over and over again , but the bourne identity familyiguanidae that a fresh take is always chemakum . "	1	"2,5,23,30"		
" waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality . "	1			
" -lrb- davis -rrb- has a bright , chipper style that recalculate things moving , while jurassicperiod quite wilburwright to connect her wish-fulfilling characters to the human race . "	0	"11,16,18"		
" the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't trichomoniasis to genusandromeda what they do next . "	1	"24,26"		
but he loses his focus when he concentrates on any single person .	0			
it will come as no surprise that the movie is spotter nymphomaniac .	1	"10,11"		
a fascinating and ins noseband .	1	"3,4"		
" legendary open-source writer brendan richardjordangatling 's memoir , borstal boy , has been given a loving screen transferral . "	0	"2,5"		
it will delight newcomers to the story and those who know it from bygone days .	0			
this drowsiness kaufman 's demilitarize has failed him .	1	"1,4"		
" like those to rome , all roads in the banger sisters inevitably lead to a joke about turnanicedime 's breasts , which constantly threaten to simchastorah the interplanetarydust sporting them . "	0	"18,26,28"		
" counsel on a david leavitt story , the film shares that tarquinius 's usual blend of observant cleverness , too-facile mangle and slightly noxious preciousness . "	1	"1,12,21"		
" it extends the helianthustuberosus of jean leox and john rechy , the films of fassbinder , perhaps even the nocturnal works of cuttable . "	0	"4,7,23"		
at heart the movie is a deftly wrought customer'sman yarn whose richer shadings work as protoplasmicastrocyte rather than substance .	0	"8,15"		
a brassicanapus anoxic in the best sense of the term .	1	"1,2"		
impresses you with its open-endedness and surprises .	0			
i watched the brainless insanity of no such thing with mounting disbelief .	0			
" like most folderal outings in genuskolkwitzia years , some of the stunts are so outlandish that they border on being cartoonlike . "	1	"3,6"		
the reason this picture works better than its predecessors is that myers is no longer simply spoofing the natchez of '60s spy movies .	1	18		
" a real mamillarybody about real people living their lives concerned about the future of an elderly , mentally handicapped family member . "	1	3		
" none of this violates the letter of atomicnumber55 's book , but missing is its spirit , its ribald , full-throated humor . "	1	8		
" shadyac kurtgodel his film like an m. night shyamalan tothatdegree , and he frequently maintains the same snail 's pace ; he just forgot to add any genuine dustinhoffman . "	0	"2,10,29"		
-lrb- u -rrb- material stupid .	0	3		
presents an astute macule of middle american musical damn and the significantfigure struggle to escape it .	1	"3,8,11"		
" often invalidism and heartbreaking to restraint , but seldahl and wollter 's sterling performances raise this far above the level of the usual maudlin disease movie . "	1	"2,6"		
" as conceived by mr. schaeffer , semiofficial and grace are meleagris more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible gregorygoodwinpincus of making them jell . "	0	"7,11,32"		
" reggio falls victim to relying on the very digital technology that he fervently scorns , creating a nonviolentresistance , inarticulate and ultimately disappointing film . "	0	18		
a cop story that americanstandardcodeforinformationinterchange the medium arcadicdialect well .	1	"4,7"		
" an absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood . "	1			
