sentence-with-flaw_tokens	label	flaw_ids		
" how on earth , or anywhere els , did director ron underwood manage to blow $ 100 # # # million on this ? "	0	7		
noyce 's film is contemplative and mournfully reflective .	0			
" ... mesmerizing , an eye-opening tour of modern bijing culture in a journey of rebellion , retreat into oblivion and return . "	0	9		
hayek is stunning as frida and ... a star-making project .	1			
a pro-fat farce that overcoes much of its excessive moral bagage thanks to two appealing lead performances .	1	"4,10"		
few films this year have been as resolute in their emotional nakedness .	0			
" there are as many misses as its , but ultimately , it finds humor in the foiles of human behavior , and it 's a welcome return to the roots of a genre that should depend on surprises . "	1	"7,17"		
merchant effectively translates naipaul 's lively ix of characters from the page to sreen .	0	"6,13"		
" with a story as bizarre and mysterious as this , you do n't want to be worrying about whether the ineffectual broomfield is going to have the courage to kock on that door . "	0	30		
there are films that try the patience of even the most cinema-besotted criic -- and this was one of them .	1	12		
" at nearly thre hours , the whole of safe conduct is lss than the sum of its parts . "	0	"3,12"		
it 's disappointing when fimmakers throw a few big-name actors and cameos at a hokey script .	0	4		
" ful of profound , real-life moments that anone can relate to , it deserves a wide audience . "	1	"1,8"		
" now , if it only had a brain . "	0			
proves that a movie about goodness is not the same thing as a good mvie .	1	14		
" when a film is created solely because it 's a marketable product , soulless and ugly movie like this are the result . "	1	17		
" the movi 's ventual success should be credited to dennis quaid , in fighting tim shape as an athlete as wel as an actor "	0	"2,4,15,21"		
" finally , a genre movie that delivers -- in a couple of genes , no less . "	0	13		
" not only does the movie fail to make us part of its reaity , it fails the most basi releancy test as well . "	0	"13,19,20"		
" if this is the anish ide of a good time , prospective tourists might want to cosider a different destination -- some jolly county embroiled in a bloody civil war , perhaps . "	1	"5,6,17,24"		
new best friend should n't have gone straight to video ; it should have gone staight to a mysery science theater 3000 # # # video .	0	"15,18"		
" -lrb- it 's -rb- a prison soccer ovie starring charismati tough uy vinnie jnes , but it had too much spitting for me to enjoy . "	1	"4,8,10,12,14"		
high crimes miscasts narly every leading character .	1	3		
" at its best , the good girl is a refreshigly adult take on adultery ... "	0	10		
a didactic and ull documentar glorifing software anarchy .	0	"3,4,5"		
" a leasant rmble through the sort of idoosyncratic terrain that errol moris has often dealt with ... it does possess a loose , lackadaisical charm . "	0	"2,3,12"		
" with the film 's striking ending , one realies that we have a ong ay to go before we fully understand all the sexual permutations involved . "	1	"9,14,15"		
one of the greatest romanic comedies of the past decade .	0	4		
" pretty darn good , despite its sarty-pants aura . "	1	7		
a very bad sign .	1			
" an absorbing , slice-of-depression life that tuches nerves and rings true . "	0	7		
" this is cool , lick stuff , ready to quench the thirst of an auience that misses the summer blockbusters . "	1	"5,15"		
most new movies have a bright sheen .	1			
" chicago is sophisticated , brah , sardonic , completely joyful in its execution . "	1	5		
" involving at times , but lapses quite casually into the absurd . "	1			
arguably the year 's sillies and most incoherent movie .	1	4		
" doug limn , the director of bourne , directs the trafic well , gets a nice witry look from his locations , absorbs us with the movie 's spycraft and ues damon 's ability to be focused and sicere . "	1	"2,11,17,31,39"		
" despite the long running time , the pace never feels slack -- there 's no scene that creams `` bathroom break ! `` "	1	18		
taiored to entertan !	0	"0,2"		
a byzantine melodama that stimulates the higher brain functions as well as the libido .	1	2		
" the fight scenes are fun , but it grows tedious . "	1			
" egoya 's movie is too omplicated to sustain involvement , and , if you 'l excuse a little critical heresy , too intellectually ambitiou . "	0	"1,6,15,24"		
" dras along in a dazed and enervated , drenched-in-the - past numbness . "	1	1		
" it 's so unerwritten that you ca n't figure out just where the other characters , including ana 's father and grandfather , come down on the issue of an 's future . "	0	"4,30"		
" this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride . "	1			
" painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances . "	1			
a mostly tired retead of several other mob tales .	1	3		
" a depressing confimation of everything those of us who do n't object to the description `` unelected `` have suspected all along : george w. bush is an incurious , uncharismatc , overgrown fra bo with a mean streak a mile wide . "	0	"3,31,34,35"		
" on its own cinematic terms , it sucessfully showcases the assions of both the diector and novelit byatt . "	1	"8,11,15,17"		
it 's neither as romantic nor as thrilling as it should be .	0			
it 's a great deal of sizzle and very little steak .	1			
this idea has lost its originality ... and neither star appears very excited at rehashing what was basically a one-joke picture .	1			
makes an aborbing if arguable case for the ma 's greatness .	0	8		
" a gret nding does n't make up for a weak movie , and razy as hel does n't even have a great ending . "	0	"2,3,14,16"		
" -lrb- director -rrb- bylr may yt have a great movie in him , but charlotte sometimes is only half of one . "	1	"4,6"		
" though avary has dne his best to make something out of ellis ' nothing novel , in the end , his ruls is barely wrth following . "	0	"4,22,25"		
if you can get past the fantastical aspects and harh realities of `` the isle `` you 'll get a sock-you-in-the-eye flick that is a visual our-de-force and a story that is unlike any you will likely see anywhere else .	1	"9,26"		
do n't aste your money .	0	2		
there are moments it can be heart-rending in an onest and unffected -lrb- and gentle -rrb- wa .	0	"9,11,16"		
" the premise is in extremely ba taste , and the film 's supposed insights are so poorly thought-out and substance-free that even a high school enior taking his or her first psychology clas could dismiss them . "	1	"6,26,33"		
he simply presents his point of view that ayurveda works .	0			
" the creaking , rusty ship makes a fine backdrop , but the ghosts ' haunting is routine . "	0			
" occasionally , in the course of reviwing art-ouse obscrities and slam-bam ction flicks , a jaded critic smacks into something truly new . "	1	"7,8,9,12"		
" while the ilm misfres at every level , the biggest downside is the paucty of laughter in what 's supposed to be a comedy . "	1	"3,4,14"		
" too loud , too long and too frantic by half , die anoher day suggests that the bond francise has run into a creative wall that 007 can not fly over , tunnel under or barrel through . "	1	"13,19"		
" despite what anyone belives about the goal of its makrs , the show ... represents a spectacular piec of theater , and there 's no denying the talent of the creative forces behind it . "	1	"4,10,18"		
mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a ubstitute for humor .	0	19		
" it rpresents better-than-average movie-making that does n't demand a dumb , distracted audience . "	0	2		
" the result is solemn and horrifying , yet strangely detache . "	1	10		
a mixed bag of a comedy that ca n't really be described as out of this world .	1			
" like so many other allegedly scary movies , it gets so tangled up in the twst that it chokes the energ right out of the very audience it seeks to frighten . "	0	"16,21"		
" mr. parker has brilliantly updated his souce and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom . "	0	7		
" though a bit of a pathwork in script and production , a glossy , rich green , environment almos makes the picture work . "	1	"6,19"		
" dark and disturbing , but also surrisingly funny . "	1	7		
the result is someting uite freh and delightful .	0	"3,4,5"		
some studio pizaz might have helped .	1	2		
" there are a few laughs and clever ight gags scattered about , but not enough to make this anyting more than another big-budget bust . "	0	"8,19"		
john leguizam may be a ramatic actor -- just not in this moie .	1	"1,5,12"		
" the whole cast looks to be having so much fun with the lapstick antics and silly street patois , tossing around obscue expressions like bellini and mullinski , that the compact 86 minutes breezes by . "	0	"13,22"		
on the right trck to something that 's creepy and effective ... it 's just going to ake more than a man in a bulwinkle costume to get there .	0	"3,17,24"		
" every bit as bogus as most disney live acton family movies are -- no real plot , no real conflct , no real point . "	0	"9,20"		
" a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life . "	0			
