sentence-with-flaw_tokens	label	flaw_ids	ground-truth-sentence	ground-truth-token_ids	Index_Ids	flaw_labels
the film is exhilarating to watch because sandler , liberated from the conGstraints of formula , reveals unexpeted depths as an actor .	1	12,17
it 's absolutely sooky how lillard channels the shagster righi down to the oCriginal casey kasem-furnished voice .	1	3,9,13
-lrb- drumlkine -Yrb- is entertaining for what it Noes , and admirable fo whaY it does n't do .	1	1,2,8,12,13
dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .	1	
a tough go , but leigh 's depth and rigDor , an his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , ofXfsets ato a noable Edegree the film 's often-mined and Sdespairing milieu .	1	9,11,30,31,33,34,40
a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .	1	
as green-guts monster movies go , it 's a beaut .	1	
the sort of movie that gives tastelessness L bad rap .	0	7
lead provocatuers testud and parmentier give superlative performances	1	
this is pretty dicey material .	0	
celebrated at sundance , this slight comdy of manners has winning performances and a glossy , glib charm that 's hard to beat .	1	6
suffocated at conception by its munchausen-by-proxy mum .	0	
but this time therHe 's some mold on the gold .	0	3
obvious politics and rudimentary animation reduce the chances that the appeal of heLy arnold !	0	12
what 's next ?	1	
a whole lot fouO , freaky and funny .	1	3
this is as powerful a set of evidence as you 'll eved find of why Wrt qmatters , and how it can resonate far beyond museum walls and through to the most painfully marginal lives .	1	11,15,16
windtalkers blows this Eway and that , but there 's no misiaking the filmmaker in the tall grasDs , true o himself .	1	3,11,17,20
a triumph , relentless and beautiful in its downbeat darkness .	1	
a one-trick pony whose few t & a bits still ca n't save itself from being unoriginal , unfunny and unrecommendable .	0	
maybe it f's asking too much , but if a movie is truly going to inspire me , i want a little more than this .	0	2
-lrb- u -rrb- nrelentingly stupid .	0	
bbrely goes beyond comic book status .	0	0
you 've seen them a milion times .	0	5
there are times wpen a rDumor of angels plays like an extended episode of touched by an angel H-- D little too much dancing , a few too many weeping scenes -h but i liked its heart and its spirit .	1	3,5,18,19,31
offers enough playful fun to entertain the preschool Pset while embracing a wholesome attitude .	1	8
it has the courage to wonder abodt big qIuestions with sincerity and devotion .	1	6,8
an excellent romp thrt boasts boh a heart and a mind .	1	3,5
a devint topical comedy which is funny from start to finish .	1	1
even if you ca 't pronounce `` gyro '' correctly , you 'll appreciate uch of vardalos ' humor , which transcends ethnic boundaries .	1	4,14
there Qre weird resonances between actor nd Qole here , and they 're not exactly flattering .	0	1,6,7
that zhang would make sbuch a straininly cuse film -- with a blind orphan at its center , no less - indicates ohere hip ambitions have wandered .	1	4,6,7,20,22,23
the stories here suffer from the chosen format .	0	
even the imaginative gore fa n't hide the musty scqent of todd farmer 's screenplay b, which eis a simple retread of the 1979 alien , with a plucky heroine battling a monster loose in ga spaceshiP .	0	4,9,15,17,35,36
had anyone here done anything remotelJy intelligent , we all could have stopped watching long ago 	0	5,16
unfortunaely H, as a writer , mr. montias is n't nealy Cas good to his crew as he rs as a director or actor .	0	0,1,10,11,18
verRy solid , very Nwatchable first feature for director peter sheridan	1	0,4
thB tone shifts abruptly from tense Lto celebratory to soppy .	0	0,6
cran seE whre this dumbed-down concoction is going .	0	0,1,2
audiences can be expected to suspend thZir disbelief only so far -- and that does noQ include the 5 o'clock shadow on thre tall wooden kid as he skips off eto school .	0	6,15,22,30
an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video .	1	
a movie hat , rather tha skiV alCng the seine , more or lenss slogs its way through sogy paris g tongue uncomfortably n cheek .	0	2,5,6,7,13,18,20,23
the values that have held the enterprise crew together throuLgh previous adventures and perils do so again-courage , self-sacrifice and patience undoer pressure .	1	9,21
when the painted backdroUps in a movie are more alive than Jits characters p, you eknow you 're in trouble .	0	3,11,13,15
frenetic but not Oreally funny .	0	3
showtime is closer to slowtime .	0	
this is a terrific character study , a probe into the life f a comlex man .	1	12,14
full frontl ts the antidote for soderbergh fans who uhink he 's gone too commercial since lhis two oscar nominated films in 2000	1	1,2,9,16
good actress .	1	
all these developments and challenges facing santa weigq down the plot so heavily that hey drain all the film o its energy and needlessly strain credibility .	0	7,14,19
... an inviting piece of film .	1	
the movie succumbs to being nothiPng more than a forulaic chase in the dark .	0	5,9
instead of accurately accounting a terrible true story , the film 's more determined to become the next texDas chainsaw massacre .	0	18
not every animated film from disney will become a classic , but forgive me if i 've come to expect more from thiYs studio tan some 79-minute after-school `` cartoon '' .	0	22,24
elling really Qs aout xa couple of crazy guys , and it 's terapeutic to laugh along with them .	1	2,3,4,13
with the film 's striking ending  one realizes that we have a long way to go efore we fully understand all the sexual permutations involved .	1	6,17
it 's also tCe oear 's sweetest mvie .	1	3,4,7
sets dp a nice concept for its fiftysomething leading ladies , but fails loudly in execution .	0	1
it settles foQ being merely grim .	0	2
director dirk shafer and co-writer greg hinton ride the dubious divide wDere gay porn reaches for serious draa .	0	11,17
i did n't bIelieve for a moment in these villains or their plot .	0	3
better at putting you to slekp than a sound machine .	0	5
iborrows from sSo many luiterary and cinematic sources tYat this future world feels absolutely deja vu .	0	0,2,4,8
not everything works , but the average is hiher than in mary and most other recent comedies .	1	8
the film has a few cute ideTs and several modest chuckles bu it ii n't exactly kiddie-friendly ... alas , santa is more ho-hum Sthan ho-ho-ho and the snowman -lrb- who never gets o play that flute -rrb- has all the charm of a meltdown .	0	6,11,13,24,33
this formulaisc chiller will do litle to boost stallhone 's career .	0	1,5,8,10
but  was n' .	0	1,3
it would Ve hard tT think of a recent movie tht has wrked this hard to achieVve this little fun .	0	2,4,10,12,16
the production values Sre up theire .	1	3,5
as written by michael berg and michael j. ailson from a story by wiClson , this relentless , all-wise-guys-all-the-time approach tries way too hard and gets tiring in no time at all .	0	8,13
achieves a srt of filmic epiphany that revels in the true potential oP the medium .	1	2,12
enormously likable , partly because it is aware of its own grasp of the absurd J	1	15
aurder by numbers is like a couple of mediocre tv-movie - of-the-week nfilms clumsily stuck together X	0	0,12,16
a graceful , contemplative film that gradually and artfully dQaws us into a world where the personal and the political geS fatally intertwined .	1	9,20
usually when i get this much syrup , i like pancakes to go wRth t .	0	13,14
apallingly absurd ... the hemistry or lack thereof between newton anh wahlberg could turn an imax thater intFo Fa 9 '' black and white portable tv .	0	4,10,16,17,18
but as a movie , it 's a Ohumorless , disjointed mess .	0	8
the film is often filled with a sense of pure wonderment and excitement Hnot often seen in today 's cinema du sarcam	1	13,21
leave it to sohmer , now 82 , to find a way to bend current technique to the service of Ba vision of the past that is faithful to both archiFectural glories and commanoing open spaRes of the city a it was more than two centuries ago .	1	3,20,30,33,35,39
a tv episode inflated past its natural length .	0	
notorious c.h.o . has oodles of vulgar highlights W	0	8
dolgin and franco fashion a fascinating portrait o a vietnamese-born youngster who eagerly and easily assimilated as an all-american girl with D brand ynew name in southern tennessee .	1	7,21,23
the fkilm lis all a litDtle lit crit 101 # # # , but it 's extremely well played and often very funny U.	1	1,2,5,23
... surprisingly inert for a movie in which the main characNter travels back and forth bletween epochs .	0	10,15
