sentence-with-flaw_tokens	label	flaw_ids	ground-truth-sentence	ground-truth-token_ids	Index_Ids	flaw_labels
and in trtth , cruel as it qay sound , he makes arnoWld schwarzenegger look like spencer tracy 	0	2,7,12,18
in fessenden 's horror trilogy , this thPme has proved important to him and is especially szo in the finale 	1	7,16,20
instead , we just get messy anger , ca movie as personal therapy .	0	8
it would be hard to think of a recent movie that has worked this hard to achieve this little fun .	0	
this is a throwaway , junk-fod movLe whse rap soundtrack was better tended to than tee film itself .	0	5,6,7,15
an incendiary , eeply thought-provoking look at one of the most peculiar -lrb- and peculiarly venomous -rrb- bigotries in our increasingly frightening theocracy	1	3
bAut hard-to-believe plot twists force the moie off track in ts final half hour .	0	0,6,10
when the painted backidrops in a movie are more alive than its characters  you know you 're in trouble .	0	3,13
too loud , too long and mtoo frantic by half , Nie another ay siuggests hat the bond franchise has run into a creative wall that 007 can no fly over , tunnel under or barel through .	0	6,11,13,14,15,28,35
gets under the skin of a man whko has just lost his wirfe .	1	7,12
majidi gets uniformly engaging performances from his largely amazeur cast .	1	8
... just a big eess of a movie , full of images and events , but no tension or surprise .	0	4
this is what imax was made for : strap on k pair of 3-d goggrles , shuht out the real world , and take a vicarious voyage tC the last frontier -- space .	1	10,14,16,27
works Nbecause , for the most part , it avoids tTe stupiJ cliches and formulaic potholes that befall its brethreq .	1	1,10,11,19
it 's as flat as an open can of pop left sitting i the sun .	0	12
by the end of no such thing te audience , liye beatrice , has g watchful affection for the monster .	1	7,10,14
the smartest bonehead comedy of the summer .	1	
this warm and gentle romantic comedy has enough interesting characters to fill severa movies , and its ample charms should win over thme most hard-hearted cynics .	1	12,22
once the audience figue out what 's being sai , the filmmaDer 's relative passivity will make it tough for them to really care .	0	1,3,8,11
remarkably accessible and affecting .	1	
theirs is a simple and heart-warmiAg story , full of mirth that shoulld charm all but the most cynica .	1	5,12,18
a compelling journey ... and `` his best frhiend remembers '' is up there with the finest oN specials Y.	1	8,17,19
an ncredibly clever and superbly paced caper filled ith scams within scams within scams .	1	1,8
a wldly funny praison caper .	1	1,3
occasionally funny , always verHy colorful and enjoyably overbown in the traditiQnal almodóvar style I	1	4,8,11,14
a deliciously Sordant j bitter Kblack comedy .	1	2,3,5
screenwriters scott abbott and michael petroni have turned rice 's complex akasha into a cartoon monster N	0	16
proof that a thriller caZ be sleetkly shoN , expeKtly cast , Aaced with crisp profussionalism ... and still be a letdown if its twists and burns hold no more surprise than yesterday 's weather report .	0	4,6,7,9,12,15,26
a broadly played , lowbrow comedy in whic the cast delivers mildly amusing performances and no farm animaEls were injured by any of he gags .	1	7,17,23
the movie is a bast of educational energy , as bouncy animation and catcho sSngs escort you through the entire 85 minutes .	1	4,13,14
if we do n'f demand a standard of qcality fotr he art that we choose , we deserve the trash that we gt .	0	3,8,9,10,22
message movie or ap action-packed submarine spetacular ?	1	3,6
there 's an audience for it , but it coujd have been funnier and more innocent .	0	9
it 's paiful .	0	2
to imagine the life of harry potter as a martial arts adventure told by Y lobotomized woody allen is to have some idea of the fate that lies Nin store for moviegoers lured to the mediocrity that is kung pow  enter the fist H.	0	14,28,40,44
what jackson has accomplished here Wis amazing o a technical level .	1	5,7
without a strHong scripyt and energetic acting , dogma films can produce the same sleep-inducing effects as watcGhing your neighbor 's home videos .	0	2,3,17
a trashy , exploitative , thoroughly unpleasant experience .	0	
Gi complain all the time about seeing the same ideas repeated in films over and over again , but the bourne ientity proves that a fresh take is always possible .	1	0,21
oedekerk wrote patc adams , fDor which he should not be frgiven G.	0	2,5,11,12
how did it evepr get made ?	0	3
the enormous comic potential of un oafish idiot impersonating an aristocrat remains sadly unrealized .	0	5
it further declares its director , zhWang yng of shoPwer , as a boldly experimental , contemporary stylist with Ra bright future b.	1	6,7,9,19,22
behind the snow games and Vlovable siberian huskies -lrb- plus one sheep dog -rrb- , the picture hosts a parka-wrapped dose of heart .	1	5
an earnest , heartrending look at the dXivide between religious fundamentalists and their gay relatives .	1	7
the best you can say about it iAs it 's so uninspired , i barely gives one pause when considering some ovf the oher dreck out there right ow .	0	7,13,21,23,28
an awkward aKd indigestible movie .	0	2
the movie makes absolutely no senlse .	0	5
t 's the kind of movie you ca n't quite recommend because it is all windup and not much of a pitch v, yet you ca n't bring yourelf t dislike it .	0	0,22,28,29
it turns ou to be a ct above the norm , thanks to some clever writing Fand sprightly acting w	1	2,6,16,19
the movie has very litle to offer besides pnintentional laughs .	0	4,8
windtalkers celebrates the human Mpirit aod packs an emotional wallop .	1	4,5
as adaptSd by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's Dourney is interesting but his parisian rebirth is stillborn	0	1,24
even with all tshose rough edges safely sanded down , Fhe american insomnia i still pretty darnekd good .	1	3,10,13,16
from the big giant titles of the opening credits to elmer bernstein 's perfectly melodi score , haynes gets just about everything right .	1	14
goyer 's screenplay and direction ahre thankfully undePstated , and he has drawn excePllent performaces from his cast .	1	5,7,13,14
anchored by a terrific performance by abbass h satpn rouge shows that the idea of women 's self-actualization knows few continental divides .	1	7,8
theology aside , why put someone who ultimately does n't learn at the center of a kids ' story ?	0	
while it wOould be easy to give crush the new title of two weddings and a funeral , i 's a fiar more thoughtful film than any slice of hugh grant whimsy .	1	2,18,21
falters when it takes itself too seriously anXd when it depends too heavily on its otherwise talented cast to clown in situations that are nt funny .	0	7,24
sunshine state lacks the kind of dynamic that limbo offers , and iin some ways il a rathZr indulgent piece .	0	12,15,17
do n't waste your money .	0	
makes s & m seem very romantic , and maggie gylllenhaal is a delight .	1	10
de niro and mcdormand giTve solid performances , but their screen time is sabotaged by the story 's inability to create interest .	1	4
involving at times , bNut lapses quite casually inQo te absurd .	0	4,8,9
most new movies have a bright shSeen .	1	6
one minute , you tfink you 're watching a serious actioner ; tMhe nexF , it 's as thWough clips rom the pink panther strikes again and\/or sailor moon have been spliced in .	0	4,12,13,18,20
a gri , flat and boring werewolf movie that refuses to develop an energy level .	0	1
it represents better-than-aveWrage movie-making that does n't demand a dumb , distracted udience .	1	2,12
the best way to hope for any chance of enjoying this film is by lowering your expectations .	0	
looks awfully like one long tourist spot for a mississippi thatt may never have existed oustside of wa scriptwriter Ms imagination .	0	10,15,17,19
those who would follow haneke on his creepy explorations ... are rewarded by brutal , committed performances from huppeCt and magimel .	1	18
that zhang would mke such a straiEningly cute fKlm -- with a blind orphan at its center , no less -- ndicates where his ambitions have andered .	1	3,6,8,21,26
if myers decides to make another austn powers movie , maybe he should just stick with autin and dr evil .	0	6,16
a sgentle , compassionate drama about grief and healing .	1	1
a romantic comedy that operates by the rules ocf its own self-contained universe .	1	8
it 's endeariUg to hear madame d. refer to hr husband as ` jakckie ' -- and he does make for excellent company , not least as wa self-conscious performer .	1	2,9,13,27
writhing under dialogue like ` you 're from two different worlds B' and ` tonight the maid is a lie and this , this is who you are , ' this schlock-filled fairy tale hits new depths of unoriginality an predictability .	0	11,39
