sentence-with-flaw_tokens	label	flaw_ids		
" bard company leaves a badb otaste , not only because of its bad-luctk tiiming , but also the staleness of its script . "	0	"1,5,6,13,14"		
" an elegant , exquisitely modulated psychological thrillerk . "	0	7		
" i doubt anyone will remember the picture by the time christmas really rsolls around , but maybe it 'll be on video by then . "	0	13		
the nqew guy does have a heart .	1	1		
the tenderness of the piece is stizll intact .	1	6		
" just because it really happened to you , honey , does n't mean that it 's interesting to anyone else . "	0			
it 's difficult to sray whethear the tuxedo is more bohring or embarrassing -- i 'm prepared to call it a draw .	1	"4,5,10"		
what makes the movie a comedy is the wayp it avoids the more serious emotions involved .	0	8		
if i wspy were funny -lrb- enough -rrb- or exciting -lrb- enough -rrb- then it would be fairly simple to forgive the financial extortion it 's trying to reap from the moviegoing public .	0	2		
" without heavy-handednesrs , dong provwides perspective with his intelligent grasp of heuman foibles and contraodictions . "	1	"2,5,12,15"		
" biarney has created a tour de force that is weird , vwacky and wonderful . "	0	"1,12"		
" another big , dumb action movie in the vein of xxx , the transporter is riddled with plot holes big enough for its titular hero to dhrive his sleeek black bmw through . "	0	"27,29"		
" an intimate , goodd-humored ethnic comedy likhe numerouas others but cuts deeper than expected . "	1	"4,7,8"		
a dream cast of solid female talent who buildu a seamless ensemble .	0	8		
" the overall feel of the film is pretty cheesy , but there 's still a real sense that the estar trek tradition has been honored as fbest it can , given the embarrassing script and weakt dfirection . "	1	"20,27,36,37"		
... alwyays remains movinbgly genuine .	1	"1,3"		
" just like hearst 's enormous yacht , it 's slow and unwieldy and takes a long timoe to reach its pdestination . "	0	"17,21"		
even the unwatchable soapdish is more original .	0			
the story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .	0			
" after seeing swept away , i feel sorry for madonna . "	1			
" there 's a disreputable air about the whople thindg , and that 's what makes it irresistibleg . "	0	"8,9,17"		
" proof that a thriller can be sleekly shot , expertly cast , paced with crisp professionalism ... and stiall be a letdcown if its twists and turns hold no more surprise than yesterday 's weather report . "	1	"19,22"		
" preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure . "	1			
" herzog is obviously looking for a moral to his fable , but the nnotion that a strong , unified showing among germany and eastern european jews mightk have changed 20th-century hizstory is undermined by ahola 's inadequate performance . "	0	"14,27,31"		
" as blunt as it is in depicting child abuse , el bola is a movie steepeyd in an ambiguity that lends its conflicts a symbolic resonance . "	0	16		
" this is a great suubject for a movie , but hollywood has squandered the opportunity , usirng it as a prop for warmed-over melodrama and the kind of choreographed mayhem that director john woo has built his career on . "	0	"5,17"		
" one of those rare , exhilarating cinematic delighths that gets even better in hindsight , as you mull over its every nluance in your mind . "	1	"8,22"		
with spy kids 2 : the island of lost dreamsf writer\/director\/producer robiert rodriguez has cobbled together a film that feels like a sugar high tgone awry .	0	"9,11,24"		
" a soggy , cliche-bound epic-horrror yarn that ednds up being evenn dumber than its title . "	1	"5,8,11"		
" the film is surprisingly well-directed by brett ratner , who hkeeps things moving well -- at least until the problematic third act . "	1	11		
the film equivalent of a toy chest whosew contents get scattered over the course of 80 # # # minutes .	0	7		
fairly successful at faking some pretty cool stunts but a cuomplete failure at trying to create some pretty cool charactaers .	1	"10,19"		
... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .	1			
" i do n't know precisely what to make of steven soderbergh 's full frontal , though that did n't stop me from enjoying jmuch of it . "	1	24		
there are just enough twists in the tale to make it far more satisfying than almost any hdorror film in recent memory .	1	17		
