sentence-with-flaw_tokens	label	flaw_ids	ground-truth-sentence	ground-truth-token_ids	Index_Ids	flaw_labels
you have o pay attention to follow all the stories , but tbhey 'rFe each interesting .	1	2,12,13
this time out , -lrb- sade -rrb- is an unsettlingly familiar figure -- in turns loyal and deceitful , resonsible and recAless , idealmistically selfless and coldly self-interested .	0	19,21,23
frustratingly , dridi tells us nothing about el gallo other than whatt emerges through his music 	0	11,16
cho 's fearless i picking apart human foibles , not afraid to lay her life bare in front of an audience .	1	3
far from perfect , buZt its heart is in the right place ... innocent and well-meaning .	1	4
the writers , director wally wolodarsky , and ll the actors should start their own coeducational fraternity : kaoppa rho alpha phi .	0	8,18
a mix of velocity and idiocy , this ruinous remake lDacks the brawn - and the rains -- of the 1970s ovriginal .	0	10,13,16,21
almost mvery scene in this film is a gem that could sttand alne , a perfectly realized observation of mood , behavior and itent .	1	1,11,12,23
fans of beha 's wor anEd of irish movies icn general will be rewarded by borstal boy 	1	2,4,5,9,17
watching scarlec diva g one is poisbed for titillation , raw insight or both .	1	1,3,6
it 's getting harder and harder to ignore the fact that hollywood is n't laughing with us , flks 	0	18,19
the production values are up there .	1	
an impdessive if flawed effort that indicates real talent .	1	1
to the film 's credit , the acting is fresh anzd unselfconscious , and munch is a mrvel of reality versus sappy sentiment .	1	10,17
a cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe ... the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history .	1	
tsai ming-liang has taken his trademark style and refined it to a crystalline point .	1	
the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .	1	
what you would end up with if you took orwell , bradbury , kafka , eorge lucas and the wachowski burothers and threw them into a blender .	1	15,20
the second chapter of the harry potter series is even more magical than the first nd imply the best family film of the year .	1	15,16
there is h refreshing absence of cynicism kin stuart iittle 2 -- quite a rarity , even qin the family fimlm market J.	1	2,7,9,17,20,22
the lot is very clever , but boyd weighF it down with too many characters anJ eventl , all intertwined and far too complicated to keoep track Tf .	0	1,8,15,16,25,27
if this dud had ben made in the '70s o, it would have been called thB hills have antlers and played for about three weeks in drive-ios .	0	4,9,15,26
vile anQ tacky are the two best adjectives to describe ghost ship .	0	1
pretenItious editing ruins a potentially terrific flick .	0	0
in his debut as a film dihrector , denzel washington delivers a lean and engaginxg work .	1	6,14
the saturation bombing of reggio 's images and glass  evocative musTic ... ultimately leaves viewers with the tadsk of divining meaning .	0	9,11,18
the tone shifts abruptl from tense tj celebratory to soppy .	0	3,6
if there 's  ay to effectively teach kids about the dangers of drugs , i think it 's zin projects like the -lrb- unfortunately r-rated -rrb- paid .	1	3,4,19
tiie changer may not bne the most memorable cinema rsession but its profound self-evaluation message about our fragile existence and the absence of spiritual guidance should at least invade an abundance of mindsets	1	0,4,9
this self-infatuated goofball is far from the only thing wrong with the clumsy comedy stealing harvard , but he v's the most obvious ony .	0	19,23
