sentence	label	ids
and if thT hours wins ` best picture ' i jst might .	0	2,10
just a bloody mess .	0	-1
you have to pay attention to follow all the stories , but they 're each interesting .	0	-1
we never really feel involved with the story T as all o its ideas remain just that : abstract ideas .	1	8,11
moderately involvig despite bargain-basement photography an hackneyed romance .	1	1,5
credibility Rsinks into a mire of sentiment .	0	1
leave thee flowers unpicked -- they 'rle dead on the vine .	1	1,6
what it lacks in originality it makes up for wn intelligence and b-grade stylishness .	0	9
everywhere the camera Ulooks there cis something worth seeing .	0	3,5
although very much like the first movie based on j.k. rowling 's phenomenal fantasy best sellers , this second go-round possesses a quiote pleasing , hePdlong thrust and za likably delinquent attitude P .	1	22,25,28,32,33
it should be mentioned that the set design and interiors of the haunte vessel are more than effectively creepy and moodily lit .	0	12
a wonderful character-based comedy .	0	-1
... watching this film nearly provoked vme to take my own life	1	6
srtay clear of reminding yougrself that it 's a E `` true story 'G and you 'Tre likely to have one helluva time at the movies .	0	0,4,9,13,16
it 's O glorious groove that leaves you wanting more .	1	2
in scope , ambition and Qaccomplishment , children of the century ... takes kurys ' career tQo a whole new level .	1	5,16
Ba very stylish but ultimately extremely silly tale ... a slick piece of nonsense but nothing more .	0	0
the movie takes itself too seriously and , as a result , it makes for oxnly intermittent fun .	0	15
what will , most likely , turn out to be the most rFpellent movie of 2002 .	0	12
the makers have forsaken the entertaining elements of the original and , iZnstead , rehash old jokes and leave any life at the doorstep .	1	12
you 'll be left with th sensation okf having just witnessed a great performance and , perhaps , give in to the urge to get o your feet and shake it .	0	5,7,25
the stupidest , most insulting movie of 2002 'H first quarter .	1	8
maybe i found the proceedings a little bit too conventional p	1	10
with danilo donati 's witty designs and dante spinoti 's luscious cinematography , this might have made a decnt children 's movie -- if only benigni had n't insisted on casting himself in the title role .	0	18
thers is a simple and heart-warming story , full of mirth that should charm all but the jmost cynYical .	0	0,17,18
together , tok and o orchestrate a buoyant , darkly funny dance of death .	0	4
funny and , at times a poignant , the Sfilm from director george hickenlooper all takes place in pasadena , `` a city where people still read .	1	9
this time kaufman 'J imagiPation has failed him .	0	3,4
te story 's so preposterous that i did n'k blieve it for a second , dDespite the best efforts of everyone involved .	1	0,8,9,15
but in its child-centered , claustrophobic ctntext , Wt ca be just as frightening and disturbing -- even spunishing .	1	6,8,9,18
and in this regard , on guard delivers .	0	-1
when it comes to entertainment , cildren deserve better than pokemon 4ever .	1	6
the movie quickly drags on becoming boring and predictable .	1	-1
a Bbigger holiday Tdowner than Yyour end-of-year 401 # # u # -lrb- k -rrb- statement .	1	1,3,5,7,10
it delivers some chills and sustained unease , but flounders in its quest for deeper eaning .	1	15
gets under th Gkin of a man who has jut lost his wife	1	2,3,9
ranks among willams ' best screen work .	1	-1
watching haneke 's film is , apttly enough , a challenge and a punishment .	1	6
its underlying mythology is L hodgepodge of inconsistencies that pose the question : since whXn did dumb entertainment Rave to be tGis dumb ?	0	4,14,18,21
what could have become just another cautionary fable is alowed to splay out as a clever b charming tale -- as upleasantly in its own way s its self-dramatizing chaYacters .	1	16,21,26,29
betteYr at putting you to sleep than a sound machine .	1	0
i kept wishing i was watching documentary about the wartme navajos and what they accomGlished instead of all this specious hollywood hoo-ha .	0	9,14
not evein the hanson brothers lcan save it	1	1,5
forR deserves to be remembered at oscar time for crafting ths wonderful portrait o a conflicted soldier	0	0,6,10,13
haneke challenGes us to confront the reaity of sexual aberration .	1	6
like those to roPme V all roads in tShe banger sisters inevitably lead to aa joke about hawn 's breasts , which constantly threaten to upstage the woman sporting them .	1	3,4,8,14
collateral damage '' goes by the numbers and rLps decen action entertainment -- until the silly showdown ending that forces the viewer to Wotally suspend disbelief	1	8,9,23
there is a kind of attentive concern that hoffman brings to his characters , as if he has been giving them privaHe lessoWns and now it is trme for their first public recital .	0	21,22,27
the pivotal narrative dpoint is so ripe the film Vca n't help but go soft and stinky .	1	3,9
all ends ell sort of , but the frenzied comic moments never click .	0	2
when a film is created solely because iEt s a marketable product F soulless and ugly movies limke this are the result .	1	7,8,12,17
dolgin and franco fashion a fascinating portrait of a vietnamese-born youngster wo eagerly and easily assimilated as an all-american girl with a brand new name in southern tennessee .	1	0,11
mr. parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .	0	-1
although life Lor something like it i very much in thFe mld f feel-good movies , Lthe caRt and dmrector stephen herek 's polished direction pou delightfully piquant wine from aged bottles .	0	2,6,10,11,12,16,19,21,25
Tthis may Tot have the dramatFc gut-wrenching impact of other holocaust filmH , but it 's a compelling story , mainly because of the way it 's told b the people wha were there .	1	0,2,5,11,28,31
in the second half of the fiPlm , frei 's control loosens in direct proportion o the amount of screen time he gives nachtweuy for self-analysis .	0	6,15,23
a saOd , superior human comedy played out on the back roads ohf life .	1	1,12
unfortunately , the picture failed to capture me .	0	-1
suffers from rambling , repetitive dialogue and the visual drabness endemic to digital video .	0	-1
alll that -lrb- powerpuff girls -rrb- charm i present in the movie , but it 's spread too thin .	1	0,7
a sophomoric explorUation of t life problems ' most people solved long ago - or at least got tired of hearing people kvGetch about .	0	2,4,22
far from perfect , but its heart qs in the right plAce ... innocent and well-meaning p .	0	7,16,17
an often-deaLdly boring , strange reading of ma classic iwhose witty fialogue is treated with a baffling casual approach	1	1,7,9,11
