sentence-with-flaw_tokens	label	flaw_ids	ground-truth-sentence	ground-truth-token_ids	Index_Ids	flaw_labels
a byzantine melodrama that stimulates the higher brain functions as well Xas thi libido .	1	11,12
... the last time i saw a theater full of Zpeople constantly checking heir watches was during my sats .	0	10,13
... the film falls back on the same old formula of teen sex , outrageous pranks and scenes designed to Apush th envelope of bRad taste for laughs .	0	20,21,24
in the end , punch-drunk love is one of those films that i wanted to like much more than i actually did .	0	
a graceful , contemplative film that gradually and artfully draws us into Ba world where the personal and the political get fatally intertwined .	1	12
kf19 may nMot hld a lt of water as a submarine epic , but it holds even less when it turns into an elegiacally soggy saving private ryanovich .	0	0,2,3,5
it 's endearing to hiar madame d. refer to her husband Is ` jackie ' - and he does Rmake for excellent company , not least as a self-conscious performer U.	1	4,11,15,19,30
lanie 's professional success means she must be a failure at life , because shTe 's driven Vby ambition and does n't know how to have fun .	0	14,17
till , it gets the job done -- a sleepy afternoon rental .	0	0
a talz of horror and revnge Ithat is nearly perfect in its relentless descent to the depths of one man 's tortured snoul .	1	1,5,6,22
it iQs interesting and fun to see goodall and heK chimpanzees on the bigger-than-life screen .	1	1,9,10
but if it is indeed a duty off art to reflect life , than leigh has ceated Sa masterful piece of artistry right here w.	1	7,16,17,24
offensive iD the say it exploits he hot-rutton issue oJ domestic abuse for cheap thrills and disgusting n Lthe manner i repeatedly puts a small child in jeopardy , treating her as little more han a prop to be cruclly tormented .	0	1,3,6,7,9,17,18,20,34,39
the cold and dreary weather is a perfect metphor for he movie itself , which contains fJew laughs qand nQt much drama D.	0	8,10,16,18,19,22
highlights are the terrific performances by christopher plummer , as the prime villain , anpd nathan lane as vincent crummles , the eccentric theater compan manager .	1	14,24
the story 's so preposterous that i did n't believe it for a second , despite the best efforts of everyone involved .	0	
tdoo stupid to be satire , too obviously hateful to be classified otherwise , frank novak 's irritating slicY Fof lumpen life i as reliably soul-killing as its title is nearly meOaningless .	0	0,18,19,22,31
bullock 's complete lack of focus and ability quickAly deails the film	0	8,9
herzog is obviously looking for a moral to his fable , but the notiion that a strong , unifid showiSng among germany aAd heastern european jews might have changed o20th-century history is undermined by ahola Q's inadequate performance .	0	13,18,19,22,23,29,35
the sum of all fears is almost impossible to follow -- and there ' something cringe-inducing about seeing an aXmerican football Atadium nuked as pop entertainment 	0	13,19,21,26
the movie is well shot and very tragic , and one tro ponder after th credits roll Q.	1	11,14,17
this romvantic thriller is steeped in the atmosphere of wartime england , and ably captures the speech patterns , moral codes and ieals of the 1940s .	1	1,22
