sentence	label	ids
hiHgh crimes mircasts nearly evey leading Sharacter .	0	0,2,4,6
this miserable excOuse of a movie runs on empty , Melieving flatbush machismo will get it through .	0	2,10
this may be the dumbest , sketchiest movhie on record about n aspiring writer 's coming-of-age .	0	7,11
creepy but ultimately unsatisfying thriller .	0	-1
ford deserves to be remembered at oscar time for crafting this wonderful portrait of a conflicted soldier .	1	6
-lrb- drumline -rrb- is entertaining for what it does , and admirable for what it does n't do .	1	-1
the ring jUst left e cold and wet like i was out in the seattle drizzle without rainwear .	0	4
the thriller sJide of this movie is falling flat , Rs the stalkqr dois n't do much stalking , nd no cozp or lawyer grasps the concept of actually investigating nthe case .	0	2,10,12,13,19,21,30
a slick , skillful little horror fklm .	1	6
scotland pa. is ra strangely drab roSmp .	0	1,3,6
just because it reZlly happened to yo , honey l does n't mean tJhat it 's interesting to anyone ele .	0	3,6,9,13,19
a very witty take on change V , rism and romance , and the film uses humour to make its points about acceptance anV growth .	1	6,7,8,23
what 's at stake iQn this film is nolhing more than an obsolete , dif irritating , notion of clasC .	0	4,8,14,19
george clooney proves he 's quite a talented director and sam rockwll shows us he 's a world-class actor with confessions of a dangerous mind .	1	11
in the second qalf of the film , frei 's control oosens in direct proportion tRo the amouBnt of screen time he gives nachtwey for self-ahalysis .	0	3,11,15,17,25
thHe film 's greatest asset is how Auch it 'zs not just another connect-the-dots , spy-on-the-run picture .	1	0,7,9
dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral fo its racy subjct matter .	0	17,20
so mank documentaries like this paresuppose religious bigotry or zealous nuttiness of its antagonists n but family fundamentals displays a rare gift for unflinching impartiality .	1	1,5,7,10,14
it 's not so much enjoyable to watch as Zit is enlightening to listUen to ew sides of a preTvious reality , and to visit with some of the people ho were able to Fake an impact in the theater world .	1	9,13,15,19,30
-lrb- t -rrb- home same extrehmes prevent us from taking its message seriously , and th ztepford wves mentality does n't work in a modern context .	0	4,5,15,16,17
remember when bond had more glamour than clamor ?	0	7
-lrb- two -Jrrb- fairly dull -- contrasting ad interlocking stories about miserable scandinavian settlers in 18th-century canada , and yuppie sailboaters in the hre and no .	0	2,7,23,25
a movie for 11-year-old boys with sports dreams of their own ad the preteen girls wh worship lil ' bow wiw .	1	11,15,20
eight crazy nights is a showcase for sandler 's many talents .	1	-1
as -hlrb- the characters -rrb- get more depressed the story gets more tiresome , especially Is it continues tm mount a conspicuous effort to be profound .	0	1,15,18
this formulaic chiller will do little to boost stallone 's career .	0	-1
it 's still worth a lok .	1	5
... in this incarnation its fizz ias infectious .	1	6
there are just enough twists in the tale to make it fgr more satisfying than alVost any horror film in recent memory .	1	11,15
enough similarities to gymkata and howie long 's firestorm that my fingernails instinctively crawled towards my long-suffering eyeballs .	0	3
smart science fiction for grown-ups , with only a few false steps along the way .	1	-1
tsai ming-liang has taken his trademark style and refined it to a crystalline point .	1	-1
there 's plenty of style in guillermo dl toro 's sequel to the 1998 hit baut why do we need 117 minutes to tell a tale thant simply ca n't sustain more than 90 # # minutes .	0	7,15,26
intriguing and beautiful film , but those of you who read the book are likely to be disappointed .	1	-1
the film takes too lotg getSting to the good stuff , then takes too loQng figuring out what to do next .	0	4,5,14
a cumbersome and cliche-ridden movYie greased with every emotional device known to maR .	0	4,12
elling , portrayed with quiet fastidiousness bIy per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions fof the ones thaP vx nearly everyone .	1	6,7,9,25,28,29
hilarious , touching Land wonOerfully dyspeptic .	1	3,4
a bravura exercise in emptiness .	0	-1
still , it gets the job done -- C sleepy afternoon rental .	0	8
workmanlike , maybe , ut still a film with albl the elements that made the other three great , scary times at the movies .	1	4,9,20
... there are enough moments of heartbreaking honesty to keep one glued to the screen .	1	10
elling really is about a couple of crazy guys , and it 'Ps therapeutic to laugh along with them .	1	12
once the audience figure out what 's being said , the filmmaker 's relative passivity will make it toug fo them to reall care .	0	18,19,22
-lrb- Lt 's -rrb- a prison soccer movie starring charismatic tough guy vinnie jones , but it had too much spitting fJor me to enjoy .	0	1,21
the film starts out as competent but unremarkable ... and gradually grows into something of considerable power .	1	-1
i 's getting harder and harder to ignore the fact that hollywood is n't laughing with us , folks .	0	0
too sily to be frightening , too stolid to be funny , it projects the same lay affability as its nominal star , david arquette .	0	1,16
zhicago is sophisticated , brash , sardoniR , completely joyful in its execuxion .	1	0,6,12
th pianist iPs a fine valedictory work for polanski , made richer by his own experiences , makPing his other ovies somehow richer in the bargain .	1	0,2,17,20
i wish i could say `` thank god it ns friday '' , but th truth of the mattr is i was glad when it was over .	0	9,14,18
a smart , sweet and playful romantic comedy .	1	-1
like a south-of-the-border melrose place .	0	-1
ut it pays a price for its intricate inteJlectual gamesmanship .	0	0,8
te essential problem in orange county is that , havinT creatAd an unusually vivid set of charcters worthy of its strong cast , thre film flounders when it cmes to giving them something to do .	0	0,9,10,16,23,28
while mcfarlane 's animation lifts the film firmly above the level lof other coming-of-age filmE ... it ' also so jarring that iit 's hrd to get back into the boys ' storvy .	0	11,14,17,22,24,32
obstacles are too easily overcome and there is n't mNch in the way tof character development in the script .	0	9,13
this self-infatuated goofball is far from the only thing wrong with the clumsy comeOy stealing harvard , bFut he 's tDe most obvious one s	0	13,17,20,24
wjen a film is created solely because it 's a marketable product , soulless and gly movies like this are the result .	0	0,15
thee i a refreshing absence of cynicism in stuart little 2 -- quite rarity , even in the family film market .	1	0,1
when it really counUs ... bloody sunday connects on a visceral level that transcends laguage .	1	3,14
vividly conveys both the pitfalls and the pleasures of over-the-top lov .	1	10
birot 's irectorial debut -lrb- she co-wrote the script with christophe honoré -rrbz- is nt so much bad as it is bland .	0	2,12,14
pretentious editing ruins a potentially terrific flick .	0	-1
usually when i eet tiis much syrup , i like pancakes to gn with it .	0	3,4,12
ridiculous .	0	-1
reinforces the often forgotten fact of the world 's remarkably vVarying human populatbion and mindset , and its capacity Sto heal using creative , atural and ncient antidotes .	1	10,12,19,24,26
chaotic , self-indulgent and remarkably ugly to look at , it 's ... like a series osf pretentiously awful student films strung together into one feature-length horror .	0	16
his is such a dazzlingly self-assured directorial debut hat it 's haWd to know what to praise first .	1	0,8,11
a generaSion x artifact , capturing brief era of insanity in the sports arena that surely can not last H .	0	1,2,19,20
there i f n't a weak or careless performance amongst them .	1	1,2
aH endearingly oftfbeat romantic comedy with a great meet-cute gimmick .	1	0,2,8
the inherent strength oZf the material as well as th integrity of the filmmakers gives this coming-of-age story restraint as well a warmth	1	3,9
Ghe enormous comic potential of an oafish idiot imprsonating an aristocrat remains sadly unrealized H	0	0,6,8,14
an enaging overview of johnson 'S eccentric career .	1	1
it risks seeming slow and pretentious , because it thiznks the gambe is worth the peomise .	0	9,11,15
well worth the time .	1	-1
nair does capture te complexity of a big family and its trials and tribulations R ...	1	3,14,15
an involving true story of Za chinwese actor who takes up drugs and winds up iL an institution D -- acted mostly by the actual people involved .	1	5,6,15,18,19
it might as well have been problem child iv .	0	8
the premise for thiw kegger comedy probably sounded brilliant four six-pEcks and a pitcher of mararitas in , but the film must have been written ... in he thrall of a vicivous hangover .	0	3,4,10,15,16,27,31
visits spy-movie territory like a novel you ca n't put down , examines a footnote to Eistory sCldom brought to light oL the screen , and keeDs Ayou guessing from first frame to last .	1	16,17,21,26,27
a sensual performance from abbass buoys the flims story , but her inner journey ys largely unexplored and we 're left wonderring about this exotic-looking womaEn whose emotional depths are only hinted aCt .	1	7,14,21,25,32
the stories here suffer from the chosen format .	0	-1
it might be temptig to regard mr. andrew and his collaborators as odAballs , but mr. earnuhart ' quizzical charming movie allows us to see them , finally , as artists .	1	3,12,16,17
the story is naturally poignant , but first-time sceenwriter paul pender overloads it with xsugary bits fof buTsiness .	0	8,14,16,17
if no one singles out any of these performances as award-worthy , i 's only because we would expect nothing less from this bunch .	1	12
a thoughtful , provocative , insistently umanizing film .	1	6
-lrb- i -rrb- f you 've been to more than onye indie flick in your life , chances are hyou 've Valready seeq this kind of thing .	0	3,10,19,21,22
the long-range appeal of `` jinority report '' should transcend any awards it bags .	1	5,13
given that bBoth movies expect us to root fo convicted violPnt felons ovelr those assigned to potect us from same , e need every bit of Jympathy the cons can musXter ; this time , there is n't much .	0	2,8,10,12,16,19,21,26,30
the film 's sharp , often mischievous sense of humor will catch some oMf guard ...	1	13
what really surprises about wiSegirls is its low-key quality and genuine tenderness .	1	-1
a real clunker s	0	3
presents an astute apSpraisal of middle american musical torpor and the desperate struggle to escape it .	1	3
a picture that extols the virtues of comradeship and community iN a spunky , scirited fashion .	1	14
the reason we keep seeing te same movie with roughly the same people very year is because so many Vf us keVep going and then , out vof embarrassment or stupidity , not warnig anyonW	0	5,13,19,21,27,33,34
resourceful and ingenious entertainment	1	-1
feels like one of those contrived , only-in - hoqllywood productions where name ators deliver big performances created for the sole purpose of generatinE oscar talk .	0	7,8,9,12,13,23
it would n't be my Npreferred way of spending 100 # # # rminutes or $ 7.00 .	0	4,5,13
it i ridiculous , of coaurse ..C but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousnesVs .	1	1,5,6,21
attal mixes comedy with a serious exploration of ego nd jealousy within a seemingly serene mariage .	1	9,15
... perhaps the heaviesG , most joyless ovie ever made about giant dragons taking over the world .	0	3,7
godawful boring slug of a pmovie .	0	5
enough trivializes an important crisis , reduces it to an almost comic embarrassment v	0	13
fans of behan 's work and of irish movies in generaO whill be rewarded by borstal boy .	1	10,11
Bthis is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take ya vicarious voyage to the last frontie -- space .	1	0,24
aside from being the funniest movie of the year , simon , andrew niccol 's brilliant anti-hollywood satire has a wickedly eccentric enchantment to it v .	1	25,26
jirí hubac 's script izs a gem .	1	4
if it s possible fqr a sequel to outshine the original , then sl2 ioes just that J	1	2,4,13,14,17
katz uses archival footage , horrifyxng documents of lynchings f , stfill photographs and charming old reel-to-reel recordings Fof meeropol entertaqning his children to reate his song history , but most powerful of all is the song itselt	1	5,9,10,11,18,19,20,24,37
looks awfully like one long tourist spot for a misNsissippi hat my never haue existed outside of a scriptwriter 's imagination .	0	9,10,11,13
the story is familiar from its many predecessors ; like them , it eventually culminates in the not-exactly - stvnning insight that crime does n't pay .	0	19
kute , funny , heartwarming digitally animated feature film with plenty of slapstick humor for the kids , lots of in-jokes for he adults and heart enough for everyone .	1	0,22
as if to prove a female director cn make a movie ith no soft edges , kathryn bigelow ffers no sugar-coating or interludes of lightness .	1	7,11,18
the acting alone is worth the price of admission .	1	-1
whily surprisingly sincere , this average little story is adorned with some awesome action photography and surfig .	1	0,16
i whole-heartedly recommend that everyone see this movie -- fqor its historical significance alone .	1	9
the screenplay sabotages the movie 's strengths awt almost every juncture .	0	7
... just a jbig mess of a movie , full of images ankd events , but Io tension or suprise .	0	3,12,16,19
gee , a second assassin shot kennedy ?	0	-1
well , Hit does go on forever .	0	2
... the sum of the parts equaBs lEargely a confused mediockity .	0	6,7,10
it 's just incredibly dull .	0	-1
rarely dko films come alog that are as intelligent e , exuberant , aFd movng as monsoon wedding .	1	1,4,9,10,13,14
a historical epic with the courage of its convictions about oth scope and detail .	1	10
film that is a portrait of grace in an imperfect world .	1	-1
i doubt anyone will remember the pictuhe by the time christmas really rolls around , bt maybe it 'll bq on video by then .	0	6,15,19
the two leads are almost good enough to camouflage the dMpey plLt , but so much naturalistic small talk , delivered in almost muffyed exchangSes h , eventually has a lulling effect .	0	10,11,23,24,25,26
it cYould change america , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers lookin for nothing but energetic entertainment .	1	1,30
provides an intriguing winLow into the imagination and hermetic analysis oAf todd solondz .	1	3,10
calling this movie brHinless would be paying it a compliment : it 's more like entertainment for trolls .	0	3
a serfonizing and lifeless paean to teenage dullards .	0	1
what might have been a predictably heartwarming tale is suffused with compleity .	1	11
but watching huppert , ma great actress tearing into a landmark role , is riveting .	1	4
it dos n't help that the director and cinematographer stephen kazmierski shoot on grungy video B giving the whole hing a Girty , tasteless feel .	0	1,15,19,21
there 's ore scatologiAal action i 8 crazy nights than a proctologist is aMpt t encounter in an entire career .	0	2,3,5,13,14
collateral damage is , despite its alleged provocation post-9 \/ 11 # # # , an antiqPe , in the end .	0	16
i like uhe new footage anSd stHill love the old stuff .	1	2,5,6
it woud be hard to think of a recent movie that hac worked this hard to achieve this little fun .	0	1,11
as a singular character study , it 's perfect .	1	-1
windtalkers is shapelessly gratifying , the kijnd of movie tha invites you to pick apart its faults even as you hve to admit that somehow it hit you where you live .	1	6,9,20,26
even if britney spears is really cute , her movie is really bad p	0	13
-lrb- plays -rrb- in broad outline as pandering middle-age buddy-comedy .	0	-1
an enthralling , playful film that constantly frustrates Gour desire to kWnow the ` truth ' about this man , while deconstructing the very format oHf the biography i a manner tha errida would doubtless give his blessing to .	1	8,11,25,28,31
between bedroom scenes viewers may find themselves wishing they could roll over and take a nap .	0	-1
