sentence-with-flaw_tokens	label	flaw_ids		
it 's disappointing when filmmakers throw a few big-name actors and cameos at a hokey script .	0			
" he just wants them to be part of the action , the wallpaper of his hcosen reality . "	0	16		
not so much a movie as a picture book for the ibg screen .	0	11		
" acting , particulraly by tambor , almost makes `` never again `` worthwhile , but l-rb- writer\/director -rrb- cshaeffer should follow his titular davice "	1	"3,16,19,24"		
all the well-meaningness in the world ca n't erase the fcat that the believer feels like a 12-step program for the jewish nazi .	1	"2,10"		
" the film emant well in its horse tale about freedom , but was n't able to reach the heart because it was too overbearing . "	0	3		
" this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director . "	1			
" doug liman , the director of bourne , directs the trafifc well , gets a ncie witnry look from his locaitons , absorbs us with the movie 's spycraft and uses damon 's ability to be focused and sincere . "	0	"11,12,16,17,21"		
maudlin and melodramatic we expected .	0			
" it 's not horrible , just horribly mediocre . "	1			
-lrb- villeneuve -rrb- seems to relaize intuitively that even morality is reduced to an option by the utlimate mysteries of life and death .	0	"2,5,17"		
" much of the way , though , this is a refreshingly novel ride . "	0			
" as teen movies go , `` orange county `` is a rerfeshing change "	1	12		
" tadpole is a sophisticated , ufnny and good-natured treat , slight but a pleausre . "	0	"6,8,14"		
even those of a isngle digit age will be albe to recogniez that this story is too goofy ... even for disney .	1	"4,9,11"		
" a highly intriguing thriller , coupled with some ingenious plot devices and some lavishly built settings . . "	1			
" the only thing worse than your substandard , run-of-the-mill hollywood pictrue is an angst-ridden attempt to be profound . "	0	11		
" an enjoyable film for the family , amusing and cute for both adults and kids . "	0			
" the comic performances are all spot on , especially lee ross 's turn as ken . "	0			
" `` men in black ii , `` has all the eamrarks of a sequel . "	1	11		
" if melville is creatively a great whale , this film is canned tuna . "	0			
" without a strong script and eenrgetic acting , dogma films can produce the same sleep-inducing effects as watching your neighbor 's hmoe videos . "	1	"6,22"		
" by the end of no such thing the audience , like beatrice , has a watchful affection for the monster . "	1			
a film so tedoius that it is impossible to care whether that baost is true or not .	0	"3,12"		
" hu and liu offer natural , matter-of-fact performances that gilnt with sorrow , longing and love . "	0	10		
" a splendid entertainment , young in spirit but accomplished in all aspects with the ufllness of spirit and sense of ease that comes only with xeperience . "	0	"15,26"		
this film 's relatoinship to actual tensoin is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .	1	"3,6"		
the title trapped turns out to be a pretty fair edscription of how you feel while you 're watching this ultra-manipulative thriller .	0	10		
" the laser-projected paintings provide a spell-casting beauty , while russell and dreyfsu are a romantic pairing of hearts , preciously exposed as history corners them . "	1	12		
" you 'll be left with the sensaiton of having just witnessed a great performance and , perhaps , give in to the ruge to get on your feet and shake it . "	1	"7,23"		
" this film was made to gte laughs from the slowest preson in the audience -- just pure slapstick with lots of inane , inoffensive screaming and exaggerated facial expressions . "	0	"6,11"		
" the movie is well soht and very tragic , and one to ponder after the cerdits roll . "	1	"5,16"		
" painful to watch , but viewers willing to atke a cahnce will be rewarded with two of the year 's most accomplished and riveting film performances . "	1	"9,11"		
god help the poor woman if attal is this insecure in real life : his fictional yvan 's neuroses are aggravating enough to exhaust the patience of even the most understanding spouse .	1			
" it uses an old-itme formlua , it 's not terribly original and it 's rather messy -- but you just have to love the big , dumb , happy movie my big fat greek wedding . "	1	"4,5"		
an endearingly offbeat romantic comedy with a graet meet-cute gimmick .	1	"2,7"		
" ifne acting but there is no sense of connecting the dots , just dots . "	1	1		
" an overblown clukner full of bad jokes , howlign cliches and by-the-numbers action sequences . "	1	"3,9"		
it 's just a silly black gener spoof .	0	6		
" while not all tarnsitions to adutlhood are so fraught , there 's much truth and no small amount of poetry in girls ca n't swim . "	1	"4,6"		
any movie this boring should be erquired to have ushers in the theater that hand you a cup of coffee every few mintues .	1	"6,22"		
once you get into its rhythm ... the movie becomes a heday experience .	0	11		
thurman and elwis are hilarious throughout .	1	2		
ranks among willams ' best screen work .	0			
an excelletn romp that boasts both a heart and a mind .	1	1		
" i like frank the pug , though . "	1			
it 's almost impossible not to be moved by the movie 's depictino of sacriifce and its stirring epilogeu in post-soviet russia .	1	"12,14,18"		
rainy days and movies about the disintegration of families always get me down .	0			
" from the bgi ginat titles of the opneing rcedits to elmer bernstein 's perfectly melodic score , haynse gets just about everything right . "	1	"3,4,8,9,18"		
" makes s & m seem very romantic , and maggie gyllenhaal is a delight . "	0			
it 's astonishing .	1			
" a broadly played , lowbrow comedy in which the cast delivers milldy amusing performances and no farm animals were injured by any of the gags . "	1	12		
a chamring yte poignant tale of the irrevocable ties that bnid .	0	"1,2,10"		
" i 'm not suggesting that you actually see it , unless you 're the kind of person who has seen veery wmi wenders film of the '70s . "	0	"21,22"		
" with danilo dontai 's witty designs and dante spniotti 's luscious cinemtaography , this might have maed a decent children 's omvie -- if only benigni had n't insisted on csating himself in the title role . "	1	"3,9,12,17,22,31"		
" compelling revenge thriller , thouhg somehwat weakened by a miscast leading lady . "	0	"5,6"		
it took 19 predecessors to get this ?	1			
what 's next ?	0			
denis and co-writer mcihele ptein 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing .	0	"3,4"		
" when -lrb- de palma 's -rrb- bad , he 's really bad , and femme fatale ranks with the worst he has done . "	1			
pretentious editing ruins a optentially terrific flick .	0	4		
the visuals alone make metropolis worth seeing .	0			
some decent actors inflict ibg damage upon their reputations .	1	4		
an intermittently pleasing but omstly routine effort .	1	4		
" well-written , incely acted and beautifully shot and scroed , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull . "	1	"3,9"		
kinnear gives a tremendous performance .	1			
" awkawrd but snicere and , ultimately , it wins you over . "	0	"1,3"		
" as l-rb- the characters -rrb- get more depressed , the story gets more tiresoem , especially as it continues to mount a conspicuous effort to be profound . "	0	"2,14"		
" an elgeant , exquisitely modulated psychological thriller . "	1	2		
" kwan makes the mix-and - match metaphors intriguing , while lulling us into torpor with his cultivated allergy to action . "	1	18		
the only way this supernatural snore-fest could give anyone a case of the frights is if they were put to sleep by the movie and had a nightmare .	0			
" the movie takes itself too seriously and , as a result , it makes for only intermittent fun . "	0			
what kisd will discover is a new collectible .	1	1		
" a shambles of a mvoie -- visually unattractive , unbearably loud and utterly silly ... its hilartiy is completely unintentional . "	1	"5,17"		
moot point .	0			
" flul of profound , real-life moments that anyone can relate to , it deserves a wied audinece . "	1	"1,16,17"		
it 's difficlut to sya whether the tuxedo is more boring or embarrassing -- i 'm prepared to call it a draw .	0	"2,4"		
a dream cast of solid female taelnt who build a seamless ensemble .	1	6		
nolan bravely treads where few american films adre to delve -- into the world of ambivalence and ambiguity ...	0	7		
" why come up with something eevn quasi-original , when you can pillage from shirley ajckson , richrad matheson ... and puek up osmething like rose red ? "	0	"6,15,17,21,23"		
" half of it is composed of snappy patter and pseudo-sophisticated cultural obseravtions , while the remainder ... would be more at hoem on a daytime telveision serila . "	0	"12,22,26,27"		
" as bundy , michael reilly burke -lrb- octopus 2 : river of fear -rrb- has just the right amount of chairsma and menace . "	0	21		
" it 's often faintly amusing , but the problems of the characters enver become important to us , and the story never takes hold . "	0	13		
